Id,Name,Department,Course Code,Year Level,Total Classes,Attended Classes,Absent Classes,Late Classes,Attendance Rate,Risk Level,Status,Student Number
"4818","Abel Castillo","College of Business & Accountancy","BSIA1","THIRD_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-04818"
"7911","Abel Contreras","College of Arts & Sciences","ABEng2","SECOND_YEAR","20","15","0","4","75","MEDIUM","ACTIVE","2025-07911"
"8448","Abel Vargas","College of Business & Accountancy","BSA2","FOURTH_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-08448"
"8628","Abel Navarro","College of Business & Accountancy","BSREM2","THIRD_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-08628"
"9183","Abel Herrera","College of Business & Accountancy","BSBA-MAN13","SECOND_YEAR","20","14","2","3","70","HIGH","ACTIVE","2025-09183"
"9323","Abel Molina","College of Business & Accountancy","BSBA-MAN14","FOURTH_YEAR","20","15","2","1","75","MEDIUM","ACTIVE","2025-09323"
"9562","Abel Acosta","College of Computer Studies","ACT2","FOURTH_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-09562"
"9638","Abel Aguilar","College of Computer Studies","BSCS2","SECOND_YEAR","20","13","1","5","65","HIGH","ACTIVE","2025-09638"
"10568","Abel Velazquez","College of Teacher Education","BSEd-SCI2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10568"
"10717","Abel Herrera","College of Teacher Education","BTVTEd-II2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10717"
"3959","Abel Valencia","College of Arts & Sciences","ABCom1","FOURTH_YEAR","20","17","0","0","85","LOW","ACTIVE","2025-03959"
"10926","Abel Navarro","College of Criminology & Administration","BSC2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10926"
"5817","Abel Jimenez","College of Computer Studies","BSIT1","THIRD_YEAR","20","16","2","2","80","MEDIUM","ACTIVE","2025-05817"
"1184","Abel Vargas","College of Business & Accountancy","BSBA-MAN1","FOURTH_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-01184"
"2299","Abel Torres","College of Teacher Education","BEEd-EC","FOURTH_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-02299"
"5304","Abel Morales","College of Business & Accountancy","BSBA-HR1","SECOND_YEAR","20","17","2","0","85","LOW","ACTIVE","2025-05304"
"6340","Abel Mejia","College of Teacher Education","BSEd-ENG1","SECOND_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-06340"
"7904","Abel Contreras","College of Arts & Sciences","ABEng2","FOURTH_YEAR","20","17","0","1","85","LOW","ACTIVE","2025-07904"
"6236","Abel Perez","College of Teacher Education","BSEd-MAN1","FOURTH_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-06236"
"1655","Abel Guzman","College of Business & Accountancy","BSBA-BE","FOURTH_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-01655"
"4485","Abel Mejia","College of Business & Accountancy","BSAIS1","SECOND_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-04485"
"3084","Abel Dela Cruz","College of Maritime Education & Training","BSMT","THIRD_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-03084"
"1772","Abel Velazquez","College of Computer Studies","ACT","FIRST_YEAR","20","16","1","2","80","MEDIUM","ACTIVE","2025-01772"
"6395","Abel Rivas","College of Teacher Education","BSEd-ENG1","FOURTH_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-06395"
"3638","Abel Perez","College of Health Sciences","BSMedTech","FIRST_YEAR","20","14","1","2","70","HIGH","ACTIVE","2025-03638"
"4737","Abel Fernandez","College of Business & Accountancy","BSREM1","SECOND_YEAR","20","16","0","3","80","MEDIUM","ACTIVE","2025-04737"
"3071","Abel Flores","College of Maritime Education & Training","BSMT","SECOND_YEAR","20","14","2","3","70","HIGH","ACTIVE","2025-03071"
"7795","Abel Jimenez","International School of Hospitality & Tourism Management","BSTM1","FOURTH_YEAR","20","16","1","2","80","MEDIUM","ACTIVE","2025-07795"
"4697","Abel Villanueva","College of Business & Accountancy","BSMA1","FIRST_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-04697"
"7730","Abel Acosta","International School of Hospitality & Tourism Management","BSTM1","FOURTH_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-07730"
"2015","Abel Luna","College of Computer Studies","BSIS","SECOND_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-02015"
"5570","Abel Galvan","College of Business & Accountancy","BSBA-BE1","SECOND_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-05570"
"3165","Abel Morales","College of Criminology & Administration","BSC","SECOND_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-03165"
"3647","Abel Rodriguez","College of Health Sciences","BSMedTech","FOURTH_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-03647"
"6017","Abel Castro","College of Teacher Education","BECEd1","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-06017"
"1117","Abel Ruiz","College of Business & Accountancy","BSBA-MAN1","THIRD_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-01117"
"8358","Abel Pena","College of Business & Accountancy","BSAIS2","FIRST_YEAR","20","17","0","1","85","LOW","ACTIVE","2025-08358"
"8387","Abel Vasquez","College of Business & Accountancy","BSAIS2","SECOND_YEAR","20","17","0","1","85","LOW","ACTIVE","2025-08387"
"1131","Abel Alvarado","College of Business & Accountancy","BSBA-MAN1","FOURTH_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-01131"
"2246","Abel Mendoza","College of Teacher Education","BEEd-EC","SECOND_YEAR","20","14","1","4","70","HIGH","ACTIVE","2025-02246"
"4919","Abel Jimenez","College of Business & Accountancy","BSBA-MAN5","FOURTH_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-04919"
"9119","Abel Romero","College of Business & Accountancy","BSBA-MAN13","SECOND_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-09119"
"4920","Abel Rivas","College of Business & Accountancy","BSBA-MAN5","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-04920"
"4963","Abel Carrillo","College of Business & Accountancy","BSBA-MAN5","FIRST_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-04963"
"2726","Abel Estrada","College of Teacher Education","BSEd-SCI","FOURTH_YEAR","20","17","2","0","85","LOW","ACTIVE","2025-02726"
"3831","Abel Aguilar","International School of Hospitality & Tourism Management","BSTM","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-03831"
"3768","Abel Aguilar","International School of Hospitality & Tourism Management","BSHM","THIRD_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-03768"
"9597","Abel Villanueva","College of Computer Studies","ACT2","FOURTH_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-09597"
"1960","Abel Mendoza","College of Computer Studies","BSIT","THIRD_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-01960"
"10425","Abel Rojas","College of Teacher Education","BSEd-MAT2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10425"
"1371","Adrian Lopez","College of Business & Accountancy","BSBA-MAN3","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-01371"
"2132","Adrian Torres","College of Teacher Education","BECEd","THIRD_YEAR","20","16","0","3","80","MEDIUM","ACTIVE","2025-02132"
"7420","Adrian Aguilar","College of Engineering","BSELE-BRO1","FIRST_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-07420"
"6936","Adrian Vargas","College of Maritime Education & Training","BSMT1","FOURTH_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-06936"
"7161","Adrian Moreno","College of Criminology & Administration","BSISM1","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-07161"
"2062","Adrian Castillo","College of Computer Studies","BSIS","FOURTH_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-02062"
"3468","Adrian Gonzalez","College of Engineering","BSCE-TEC","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-03468"
"309","Adrian Morales","College of Arts & Sciences","BSP","THIRD_YEAR","20","16","3","0","80","MEDIUM","ACTIVE","2025-00309"
"3044","Adrian Ruiz","College of Maritime Education & Training","BSMT","FIRST_YEAR","20","14","1","4","70","HIGH","ACTIVE","2025-03044"
"6695","Adrian Maldonado","College of Teacher Education","BSEd-SCI1","SECOND_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-06695"
"1586","Adrian Torres","College of Business & Accountancy","BSBA-MAN4","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-01586"
"6794","Adrian Torres","College of Teacher Education","BTVTEd-HEH1","THIRD_YEAR","20","15","2","3","75","MEDIUM","ACTIVE","2025-06794"
"1348","Adrian Salazar","College of Business & Accountancy","BSBA-MAN3","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-01348"
"6195","Adrian Rojas","College of Teacher Education","BEEd-EC1","THIRD_YEAR","20","13","2","3","65","HIGH","ACTIVE","2025-06195"
"3644","Adrian Espinoza","College of Health Sciences","BSMedTech","THIRD_YEAR","20","15","4","1","75","MEDIUM","ACTIVE","2025-03644"
"709","Adrian Sandoval","College of Business & Accountancy","BSMA","SECOND_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-00709"
"2965","Adrian Reyes","College of Teacher Education","BTVTEd-II","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-02965"
"6819","Adrian Velazquez","College of Teacher Education","BTVTEd-II1","FIRST_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-06819"
"4006","Adrian Jimenez","College of Arts & Sciences","ABEng1","FIRST_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-04006"
"3985","Adrian Morales","College of Arts & Sciences","ABCom1","FOURTH_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-03985"
"10378","Adrian Gutierrez","College of Teacher Education","BSEd-FIL2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10378"
"6936","Adrian Vargas","College of Maritime Education & Training","BSMT1","FOURTH_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-06936"
"3644","Adrian Espinoza","College of Health Sciences","BSMedTech","THIRD_YEAR","20","15","4","1","75","MEDIUM","ACTIVE","2025-03644"
"1586","Adrian Torres","College of Business & Accountancy","BSBA-MAN4","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-01586"
"9782","Adrian Ramirez","College of Computer Studies","BSIT2","FOURTH_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-09782"
"4140","Adrian Alvarado","College of Arts & Sciences","BSM1","THIRD_YEAR","20","13","3","4","65","HIGH","ACTIVE","2025-04140"
"9761","Adrian Sandoval","College of Computer Studies","BSIT2","SECOND_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-09761"
"10249","Adrian Jimenez","College of Teacher Education","BSEd-ENG2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10249"
"665","Adrian Diaz","College of Business & Accountancy","BSA","FIRST_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-00665"
"9742","Adrian Vega","College of Computer Studies","BSIT2","THIRD_YEAR","20","10","2","3","50","HIGH","ACTIVE","2025-09742"
"2362","Adrian Miranda","College of Teacher Education","BSEd-MAN","FIRST_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-02362"
"5525","Adrian Carrillo","College of Business & Accountancy","BSBA-BE1","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-05525"
"6794","Adrian Torres","College of Teacher Education","BTVTEd-HEH1","THIRD_YEAR","20","15","2","3","75","MEDIUM","ACTIVE","2025-06794"
"7420","Adrian Aguilar","College of Engineering","BSELE-BRO1","FIRST_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-07420"
"2132","Adrian Torres","College of Teacher Education","BECEd","THIRD_YEAR","20","16","0","3","80","MEDIUM","ACTIVE","2025-02132"
"5606","Adrian Figueroa","College of Computer Studies","ACT1","FIRST_YEAR","20","14","1","2","70","HIGH","ACTIVE","2025-05606"
"3044","Adrian Ruiz","College of Maritime Education & Training","BSMT","FIRST_YEAR","20","14","1","4","70","HIGH","ACTIVE","2025-03044"
"991","Adrian Maldonado","College of Business & Accountancy","BSIA","FIRST_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-00991"
"9480","Adrian Espinoza","College of Business & Accountancy","BSBA-BE2","THIRD_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-09480"
"11508","Adrian Moreno","International School of Hospitality & Tourism Management","BSHM2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11508"
"309","Adrian Morales","College of Arts & Sciences","BSP","THIRD_YEAR","20","16","3","0","80","MEDIUM","ACTIVE","2025-00309"
"3708","Adrian Salazar","International School of Hospitality & Tourism Management","BSHM","THIRD_YEAR","20","14","2","2","70","HIGH","ACTIVE","2025-03708"
"1410","Adrian Diaz","College of Business & Accountancy","BSBA-HR","SECOND_YEAR","20","17","1","0","85","LOW","ACTIVE","2025-01410"
"5343","Adrian Ramos","College of Business & Accountancy","BSBA-HR1","FOURTH_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-05343"
"2062","Adrian Castillo","College of Computer Studies","BSIS","FOURTH_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-02062"
"4006","Adrian Jimenez","College of Arts & Sciences","ABEng1","FIRST_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-04006"
"6695","Adrian Maldonado","College of Teacher Education","BSEd-SCI1","SECOND_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-06695"
"6819","Adrian Velazquez","College of Teacher Education","BTVTEd-II1","FIRST_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-06819"
"9873","Adrian Navarro","College of Computer Studies","BSIS2","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-09873"
"3198","Adrian Ortiz","College of Criminology & Administration","BSC","FIRST_YEAR","20","16","1","3","80","MEDIUM","ACTIVE","2025-03198"
"1371","Adrian Lopez","College of Business & Accountancy","BSBA-MAN3","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-01371"
"2238","Adrian Vargas","College of Teacher Education","BEEd-EC","SECOND_YEAR","20","13","2","4","65","HIGH","ACTIVE","2025-02238"
"2965","Adrian Reyes","College of Teacher Education","BTVTEd-II","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-02965"
"11278","Adrian Soto","College of Engineering","BSCE-TEC2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11278"
"1286","Adrian Flores","College of Business & Accountancy","BSBA-MAN2","FIRST_YEAR","20","11","2","6","55","HIGH","ACTIVE","2025-01286"
"11531","Adrian Ortiz","International School of Hospitality & Tourism Management","BSHM2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11531"
"461","Adrian Mejia","College of Business & Accountancy","ABA","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-00461"
"1348","Adrian Salazar","College of Business & Accountancy","BSBA-MAN3","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-01348"
"6195","Adrian Rojas","College of Teacher Education","BEEd-EC1","THIRD_YEAR","20","13","2","3","65","HIGH","ACTIVE","2025-06195"
"11176","Adrian Vargas","College of Criminology & Administration","BSPA2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11176"
"8123","Adrian Romero","College of Arts & Sciences","BSP2","SECOND_YEAR","20","15","1","2","75","MEDIUM","ACTIVE","2025-08123"
"8325","Adrian Salazar","College of Business & Accountancy","BSAIS2","THIRD_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-08325"
"2370","Adrian Gomez","College of Teacher Education","BSEd-MAN","THIRD_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-02370"
"3928","Adrian Reyes","College of Arts & Sciences","ABCom1","THIRD_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-03928"
"3204","Adrian Moreno","College of Criminology & Administration","BSISM","SECOND_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-03204"
"3200","Adrian Maldonado","College of Criminology & Administration","BSC","FOURTH_YEAR","20","12","1","4","60","HIGH","ACTIVE","2025-03200"
"8039","Adrian Miranda","College of Arts & Sciences","BSM2","SECOND_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-08039"
"11083","Adrian Espinoza","College of Criminology & Administration","BSISM2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11083"
"3985","Adrian Morales","College of Arts & Sciences","ABCom1","FOURTH_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-03985"
"68","Adrian Diaz","College of Arts & Sciences","ABCom","THIRD_YEAR","20","16","1","3","80","MEDIUM","ACTIVE","2025-00068"
"3424","Adrian Navarro","College of Engineering","BSCE-TEC","THIRD_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-03424"
"3951","Adrian Alvarado","College of Arts & Sciences","ABCom1","THIRD_YEAR","20","13","0","4","65","HIGH","ACTIVE","2025-03951"
"5137","Adrian Gonzalez","College of Business & Accountancy","BSBA-MAN7","SECOND_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-05137"
"5913","Adrian Mejia","College of Computer Studies","BSIS1","FOURTH_YEAR","20","18","0","0","90","NONE","ACTIVE","2025-05913"
"5225","Adrian Valdez","College of Business & Accountancy","BSBA-MAN8","FIRST_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-05225"
"11151","Adrian Rivas","College of Criminology & Administration","BSPA2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11151"
"10734","Adriana Dela Cruz","College of Teacher Education","BTVTEd-II2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10734"
"5056","Adriana Villanueva","College of Business & Accountancy","BSBA-MAN6","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-05056"
"7462","Adriana Soto","College of Engineering","BSELE-BRO1","FIRST_YEAR","20","16","1","0","80","MEDIUM","ACTIVE","2025-07462"
"10650","Adriana Diaz","College of Teacher Education","BTVTEd-HEH2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10650"
"7432","Adriana Santos","College of Engineering","BSELE-BRO1","FOURTH_YEAR","20","14","3","1","70","HIGH","ACTIVE","2025-07432"
"5036","Adriana Pena","College of Business & Accountancy","BSBA-MAN6","THIRD_YEAR","20","15","1","2","75","MEDIUM","ACTIVE","2025-05036"
"7425","Adriana Vasquez","College of Engineering","BSELE-BRO1","THIRD_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-07425"
"1757","Adriana Ramos","College of Computer Studies","ACT","SECOND_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-01757"
"3882","Adriana Contreras","International School of Hospitality & Tourism Management","BSTM","FOURTH_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-03882"
"7459","Adriana Jimenez","College of Engineering","BSELE-BRO1","FIRST_YEAR","20","16","0","3","80","MEDIUM","ACTIVE","2025-07459"
"5646","Adriana Valdez","College of Computer Studies","ACT1","FIRST_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-05646"
"7201","Adriana Guzman","College of Criminology & Administration","BSPA1","SECOND_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-07201"
"1756","Adriana Guzman","College of Computer Studies","ACT","FOURTH_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-01756"
"7145","Adriana Contreras","College of Criminology & Administration","BSISM1","FOURTH_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-07145"
"5672","Adriana Mendoza","College of Computer Studies","ACT1","SECOND_YEAR","20","9","5","6","45","HIGH","ACTIVE","2025-05672"
"7001","Adriana Romero","College of Criminology & Administration","BSC1","THIRD_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-07001"
"10362","Adriana Flores","College of Teacher Education","BSEd-FIL2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10362"
"9985","Adriana Estrada","College of Teacher Education","BECEd2","THIRD_YEAR","20","15","2","1","75","MEDIUM","ACTIVE","2025-09985"
"625","Adriana Cruz","College of Business & Accountancy","BSA","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-00625"
"649","Adriana Molina","College of Business & Accountancy","BSA","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-00649"
"938","Adriana Torres","College of Business & Accountancy","BSIA","THIRD_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-00938"
"7406","Adriana Cruz","College of Engineering","BSELE-BRO1","FIRST_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-07406"
"2293","Adriana Ramos","College of Teacher Education","BEEd-EC","FOURTH_YEAR","20","15","2","1","75","MEDIUM","ACTIVE","2025-02293"
"986","Adriana Herrera","College of Business & Accountancy","BSIA","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-00986"
"1469","Adriana Gonzalez","College of Business & Accountancy","BSBA-HR","FIRST_YEAR","20","14","0","3","70","HIGH","ACTIVE","2025-01469"
"10202","Adriana Acosta","College of Teacher Education","BSEd-ENG2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10202"
"4836","Adriana Torres","College of Business & Accountancy","BSIA1","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-04836"
"3404","Adriana Navarro","College of Engineering","BSCE-TEC","THIRD_YEAR","20","16","3","0","80","MEDIUM","ACTIVE","2025-03404"
"6766","Adriana Jimenez","College of Teacher Education","BTVTEd-HEH1","THIRD_YEAR","20","15","0","3","75","MEDIUM","ACTIVE","2025-06766"
"1059","Adriana Rodriguez","College of Business & Accountancy","BSBA-MAN","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-01059"
"411","Adriana Ruiz","College of Business & Accountancy","ABA","FIRST_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-00411"
"4755","Adriana Martinez","College of Business & Accountancy","BSREM1","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-04755"
"4788","Adriana Vasquez","College of Business & Accountancy","BSREM1","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-04788"
"6754","Adriana Miranda","College of Teacher Education","BTVTEd-HEH1","THIRD_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-06754"
"9753","Adriana Carrillo","College of Computer Studies","BSIT2","THIRD_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-09753"
"1351","Adriana Reyes","College of Business & Accountancy","BSBA-MAN3","SECOND_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-01351"
"6609","Adriana Morales","College of Teacher Education","BSEd-SCI1","SECOND_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-06609"
"9518","Adriana Acosta","College of Computer Studies","ACT2","FIRST_YEAR","20","16","0","4","80","MEDIUM","ACTIVE","2025-09518"
"6627","Adriana Acosta","College of Teacher Education","BSEd-SCI1","FIRST_YEAR","20","16","2","2","80","MEDIUM","ACTIVE","2025-06627"
"1428","Adriana Mejia","College of Business & Accountancy","BSBA-HR","THIRD_YEAR","20","13","1","5","65","HIGH","ACTIVE","2025-01428"
"5451","Adriana Molina","College of Business & Accountancy","BSBA-MAN9","FOURTH_YEAR","20","12","3","5","60","HIGH","ACTIVE","2025-05451"
"4674","Adriana Mendoza","College of Business & Accountancy","BSMA1","FOURTH_YEAR","20","14","0","4","70","HIGH","ACTIVE","2025-04674"
"2748","Adriana Guerrero","College of Teacher Education","BSEd-SCI","THIRD_YEAR","20","15","3","1","75","MEDIUM","ACTIVE","2025-02748"
